SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
40,4,8,35,New Mexico,2059179,2059183,2064982,2077919,2083540,2085287,5799,12937,5621,1747,6935,27810,27102,27146,3782,16147,16471,16472,3153,11663,10631,10674,487,1465,2168,1717,2055,6,-7122,-10526,2542,1471,-4954,-8809,104,-197,-56,-118,13.42537512,13.02523947,13.02332767,7.795020929,7.915973701,7.902462731,5.630354189,5.109265765,5.120864934,0.707233892,1.041942261,0.823732911,0.002896521,-3.422838,-5.049861748,0.710130413,-2.380895739,-4.226128837
40,1,2,36,New York,19378102,19378105,19398228,19502728,19576125,19651127,20123,104500,73397,75002,59627,243115,239948,240299,35055,147866,151438,152088,24572,95249,88510,88211,21347,94792,100215,101778,-24595,-84602,-114871,-104470,-3248,10190,-14656,-2692,-1201,-939,-457,-10517,12.49917868,12.28019666,12.25163567,7.602178209,7.750381005,7.754201085,4.897000475,4.529815653,4.49743459,4.873504908,5.12886087,5.189147586,-4.349610328,-5.878934062,-5.326399106,0.52389458,-0.750073192,-0.137251521
40,3,5,37,North Carolina,9535483,9535471,9559533,9651377,9748364,9848060,24062,91844,96987,99696,30760,121051,120450,119932,18662,79257,80953,81568,12098,41794,39497,38364,5286,17281,24190,20545,6693,30558,32791,37240,11979,47839,56981,57785,-15,2211,509,3547,12.60231816,12.41769156,12.24019239,8.2512489,8.345781524,8.324784155,4.351069262,4.071910032,3.91540824,1.799081876,2.493847727,2.096811133,3.181317283,3.380560596,3.800693433,4.980399159,5.874408323,5.897504565
40,2,4,38,North Dakota,672591,672591,674344,684867,701345,723393,1753,10523,16478,22048,2180,9201,9778,10028,1490,5965,5707,5754,690,3236,4071,4274,272,858,1382,1090,829,6042,10789,16961,1101,6900,12171,18051,-38,387,236,-277,13.53873681,14.10751025,14.07697415,8.777150862,8.233949786,8.077274559,4.76158595,5.873560466,5.999699594,1.26249714,1.993923007,1.530105886,8.890451887,15.5661616,23.80928985,10.15294903,17.56008461,25.33939574
40,2,3,39,Ohio,11536504,11536503,11545435,11549772,11553031,11570808,8932,4337,3259,17777,34324,137940,137535,136456,26465,110006,110295,109452,7859,27934,27240,27004,3614,14674,15796,15708,-2783,-36843,-39710,-23094,831,-22169,-23914,-7386,242,-1428,-67,-1841,11.94533567,11.90634747,11.80219253,9.52630561,9.548192053,9.466594193,2.419030061,2.358155415,2.335598341,1.270739855,1.367453118,1.358597939,-3.190532131,-3.437678103,-1.9974192,-1.919792276,-2.070224985,-0.638821261
40,3,7,40,Oklahoma,3751351,3751357,3759263,3785534,3815780,3850568,7906,26271,30246,34788,13105,52559,52581,52504,8198,37428,37342,37225,4907,15131,15239,15279,1268,4336,5506,4756,1637,5992,9435,14268,2905,10328,14941,19024,94,812,66,485,13.93251535,13.83471331,13.69726498,9.921539307,9.82514339,9.711273216,4.010976041,4.009569924,3.985991766,1.149401369,1.448696896,1.240747224,1.588379383,2.482465532,3.722241672,2.737780751,3.931162428,4.962988896
40,4,9,41,Oregon,3831074,3831073,3837208,3867937,3899801,3930065,6135,30729,31864,30264,11073,45393,44999,45135,7779,32399,32681,32529,3294,12994,12318,12606,1510,6131,6253,6375,1434,11398,13320,10215,2944,17529,19573,16590,-103,206,-27,1068,11.78251675,11.58612713,11.52893293,8.409705463,8.414547453,8.308954457,3.372811284,3.17157968,3.219978477,1.591404185,1.60999251,1.628380358,2.958542636,3.429569844,2.609240056,4.549946821,5.039562354,4.237620414
40,1,2,42,Pennsylvania,12702379,12702379,12710472,12741310,12764475,12773801,8093,30838,23165,9326,35315,142945,142764,142753,30093,126298,127480,126975,5222,16647,15284,15778,5364,23483,24724,24996,-1702,-6844,-15927,-30718,3662,16639,8797,-5722,-791,-2448,-916,-730,11.23261232,11.19463683,11.17953303,9.924491731,9.996163615,9.943897544,1.308120587,1.198473209,1.235635483,1.84529319,1.938697437,1.957532294,-0.537801243,-1.248893143,-2.405643983,1.307491947,0.689804293,-0.448111689
40,1,1,44,Rhode Island,1052567,1052567,1052669,1050350,1050304,1051511,102,-2319,-46,1207,2749,11005,10949,10911,2330,9595,9531,9405,419,1410,1418,1506,818,3356,3797,3688,-1150,-7008,-5251,-3922,-332,-3652,-1454,-234,15,-77,-10,-65,10.4659064,10.4243726,10.38245516,9.124976997,9.074316856,8.949408012,1.340929397,1.350055745,1.433047152,3.191602168,3.615064642,3.509347873,-6.664704408,-4.999395426,-3.73201257,-3.47310224,-1.384330785,-0.222664697
40,3,5,45,South Carolina,4625364,4625360,4636361,4673509,4723417,4774839,11001,37148,49908,51422,14610,57479,57622,57457,9692,41798,42553,42931,4918,15681,15069,14526,1711,5375,8131,6513,4306,14860,26435,29324,6017,20235,34566,35837,66,1232,273,1059,12.34797049,12.26401059,12.09843154,8.979287573,9.056791551,9.039764774,3.368682914,3.207219042,3.05866677,1.154688519,1.730565932,1.371409657,3.192310956,5.626308008,6.174607212,4.346999475,7.356873939,7.546016869
