SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
40,1,1,9,Connecticut,3574097,3574097,3579210,3588948,3591765,3596080,5113,9738,2817,4315,9208,37635,37091,37172,6838,29129,29368,29249,2370,8506,7723,7923,3217,14626,15641,15702,-295,-12457,-20524,-17224,2922,2169,-4883,-1522,-179,-937,-23,-2086,10.5006056,10.330729,10.34301658,8.127332015,8.17968912,8.138461528,2.37327358,2.151039876,2.204555051,4.080825227,4.356391907,4.36904246,-3.475648835,-5.716423982,-4.792535176,0.605176393,-1.360032075,-0.423492716
40,3,5,10,Delaware,897934,897936,899711,907985,917053,925749,1775,8274,9068,8696,2794,11305,11266,11286,1840,7776,7978,8025,954,3529,3288,3261,513,2261,2521,2422,267,2607,3318,3010,780,4868,5839,5432,41,-123,-59,3,12.50763403,12.3460443,12.24873861,8.60321647,8.742831656,8.709562937,3.904417557,3.603212645,3.539175668,2.501526805,2.762682202,2.628605786,2.884334534,3.636088673,3.266764416,5.38586134,6.398770875,5.895370203
40,3,5,11,District of Columbia,601723,601767,605125,619624,633427,646449,3358,14499,13803,13022,2312,9197,9411,9589,1175,4660,4928,5151,1137,4537,4483,4438,632,2597,2897,2858,1443,6976,6235,6319,2075,9573,9132,9177,146,389,188,-593,15.01858748,15.0209369,14.9842641,7.609722482,7.86560164,8.049217268,7.408865,7.155335258,6.935046833,4.240868945,4.623913951,4.466057649,11.3917219,9.951709867,9.874394082,15.63259084,14.57562382,14.34045173
40,3,5,12,Florida,18801310,18802690,18846054,19083482,19320749,19552860,43364,237428,237267,232111,53474,213201,215290,215542,41767,174078,178466,182121,11707,39123,36824,33421,20289,91627,99452,99454,11363,105305,100000,91484,31652,196932,199452,190938,5,1373,991,7752,11.24195139,11.21178549,11.08937429,9.179020803,9.294080124,9.3699044,2.062930588,1.91770537,1.719469885,4.831432686,5.179221008,5.116787587,5.552664815,5.207759531,4.706740761,10.3840975,10.38698054,9.823528348
40,3,5,13,Georgia,9687653,9687663,9713248,9810181,9915646,9992167,25585,96933,105465,76521,33636,132623,132997,132184,17253,71250,72108,73288,16383,61373,60889,58896,5311,20093,24522,22343,3405,11549,19442,-6347,8716,31642,43964,15996,486,3918,612,1629,13.58603553,13.48455505,13.27961037,7.298922746,7.311024273,7.362737434,6.287112781,6.173530773,5.916872938,2.058347435,2.486283592,2.244646361,1.183091351,1.971222804,-0.637639102,3.241438786,4.457506395,1.607007259
40,4,9,15,Hawaii,1360301,1360301,1363731,1376897,1390090,1404054,3430,13166,13193,13964,4621,19155,18825,19016,2536,10044,11060,11433,2085,9111,7765,7583,1790,5724,8648,7459,-429,-1115,-3103,-1457,1361,4609,5545,6002,-16,-554,-117,379,13.97854798,13.60685829,13.61132426,7.329706914,7.994255123,8.183543869,6.648841069,5.612603167,5.427780386,4.1771448,6.250842523,5.339023329,-0.81368212,-2.242872843,-1.042895427,3.363462681,4.00796968,4.296127902
40,4,8,16,Idaho,1567582,1567652,1570718,1583930,1595590,1612136,3066,13212,11660,16546,5677,22951,22051,22187,2572,11668,11503,11250,3105,11283,10548,10937,423,1405,1671,1563,-406,17,-621,4579,17,1422,1050,6142,-56,507,62,-533,14.55059328,13.87064714,13.8334758,7.397338784,7.235683374,7.014314814,7.153254499,6.634963768,6.819160988,0.890749142,1.051102053,0.974522138,0.010777748,-0.390625,2.854982003,0.90152689,0.660477053,3.829504141
40,2,3,17,Illinois,12830632,12830632,12839695,12855970,12868192,12882135,9063,16275,12222,13943,40839,162422,160357,158964,24046,100735,102233,102190,16793,61687,58124,56774,6089,25835,27711,27751,-13576,-70342,-73473,-67313,-7487,-44507,-45762,-39562,-243,-905,-140,-3269,12.64197677,12.46742265,12.34656166,7.840622144,7.948402751,7.936986587,4.801354625,4.5190199,4.409575071,2.01084502,2.154472515,2.155390104,-5.475009111,-5.712372671,-5.228127783,-3.464164091,-3.557900156,-3.072737678
40,2,3,18,Indiana,6483802,6483797,6489965,6516336,6537782,6570902,6168,26371,21446,33120,20817,83469,83515,83179,13874,57277,57527,57187,6943,26192,25988,25992,2257,9062,9287,9404,-3051,-8468,-13670,-1179,-794,594,-4383,8225,19,-415,-159,-1097,12.83516351,12.79519612,12.69067131,8.807577189,8.813617282,8.725055849,4.027586321,3.98157884,3.965615465,1.393478438,1.422846032,1.434774078,-1.302138094,-2.094358271,-0.179880757,0.091340343,-0.671512239,1.254893321
40,2,4,19,Iowa,3046355,3046857,3050314,3064102,3075039,3090416,3457,13788,10937,15377,9637,37857,38439,38091,6865,27903,27469,27349,2772,9954,10970,10742,1013,4020,4106,4143,-209,-35,-4128,671,804,3985,-22,4814,-119,-151,-11,-179,12.38286698,12.52259885,12.35626568,9.126955052,8.948808962,8.871689113,3.25591193,3.573789884,3.484576564,1.314925252,1.337646423,1.343939742,-0.011448354,-1.34481355,0.21766439,1.303476898,-0.007167126,1.561604131
40,2,4,20,Kansas,2853118,2853116,2858910,2869548,2885398,2893957,5794,10638,15850,8559,10163,40109,39557,39624,5988,24838,23952,23701,4175,15271,15605,15923,1280,4373,5994,5105,473,-9110,-5755,-12557,1753,-4737,239,-7452,-134,104,6,88,14.00341942,13.7471316,13.71225682,8.671792654,8.323970373,8.201953332,5.331626766,5.423161225,5.510303485,1.526763398,2.083077756,1.766633128,-3.180611606,-2.000018766,-4.345467617,-1.653848208,0.08305899,-2.578834489
40,3,6,21,Kentucky,4339367,4339357,4347698,4366869,4379730,4395295,8341,19171,12861,15565,13948,55319,55033,54554,10516,42186,41988,41881,3432,13133,13045,12673,1425,4954,6394,5569,3523,1337,-6545,-2290,4948,6291,-151,3279,-39,-253,-33,-387,12.69575413,12.5838626,12.43392469,9.681720274,9.60098891,9.54549987,3.014033859,2.982873686,2.888424819,1.136946907,1.462053994,1.269284133,0.306842555,-1.4965817,-0.521935835,1.443789462,-0.034527706,0.747348298
40,3,7,22,Louisiana,4533372,4533372,4545392,4575197,4602134,4625470,12020,29805,26937,23336,15260,62293,61876,61703,9184,40722,41194,42002,6076,21571,20682,19701,1696,6008,7373,6695,4093,2174,-1284,-2492,5789,8182,6089,4203,155,52,166,-568,13.65986342,13.48453052,13.37356913,8.929686449,8.977337747,9.103554942,4.730176966,4.507192778,4.270014188,1.317458774,1.606785241,1.451080909,0.476723598,-0.279819917,-0.54011854,1.794182371,1.326965324,0.910962369
40,1,1,23,Maine,1328361,1328361,1327366,1327844,1328501,1328302,-995,478,657,-199,3137,12625,12751,12566,3111,12882,12945,12866,26,-257,-194,-300,236,962,1111,1042,-1270,39,-142,-1423,-1034,1001,969,-381,13,-266,-118,482,9.509605643,9.600409585,9.459489469,9.703187319,9.74647495,9.685324806,-0.193581675,-0.146065364,-0.225835337,0.724613119,0.83648773,0.784401403,0.029376208,-0.106913823,-1.07121228,0.753989327,0.729573907,-0.286810878
40,3,5,24,Maryland,5773552,5773623,5787193,5840241,5884868,5928814,13570,53048,44627,43946,18132,73548,72970,73240,10612,43473,45393,46205,7520,30075,27577,27035,5488,22680,25386,24944,713,1073,-7877,-8525,6201,23753,17509,16419,-151,-780,-459,492,12.65077058,12.44679261,12.39918258,7.477660161,7.74287045,7.822286058,5.173110421,4.703922155,4.576896517,3.901118682,4.330194287,4.222900193,0.184563507,-1.343612243,-1.443241828,4.085682189,2.986582044,2.779658366
